발화문,상황
룸메이트와 너무 자주 싸우게 돼.,anger
청소를 너무 안하는 거야! 음식물 쓰레기도 아무데나 놓고.,anger
화는 맨날 내고 있지. 하지만 매번 같아.,anger
고등학교 동창이었어.,anger
한 번 얘기를 해봐야되겠어.,anger
나 면접에서 또 떨어졌어.,sad
마지막이라고 생각하고 준비한 곳인데 또 준비할 수 있을까?,sad
어떻게 말씀드려야 될지 모르겠어.,sad
스트레스가 심해. 배도 고프지 않아.,sad
해피가 어제 세상을 떠났어.,sad
나는 잘 하는 게 하나도 없나봐.,sad
그저께 밤에 갑자기 의식을 잃어서 동물병원 응급실에 데리고 갔는데 시간이 지나서.,sad
부모님도 되게 많이 슬퍼하시지.,sad
내가 쉴 자격이나 있을까?,sad
눈치 보여서 퇴근도 못 하겠어.,sad
그랬겠지? 고마워.,sad
해피가 어제 하늘나라로 떠났어.,sad
갑자기 의식을 잃어버려서 응급실로 데려갔더니 시름시름 앓더니 그냥 하늘나라로 떠난거야.,sad
엄마가 가장 많이 힘들어 하셔. 지금 누워 계셔.,sad
오늘 보내주려고 준비 중이야.,sad
"약속이 있어서 친구 기다리고 있는데 아, 아직도 안 와!",anger
약속 시간이 한 시간이 넘었는데 아직도 연락이 안돼.,anger
약속 있어서 나왔더니 친구가 아직도 오지를 않고 있어!,anger
한 시간 넘게 기다리고 있어!,anger
한시간 째 연락을 받지도 않고 있다고.,anger
매번 그래. 약속 있을 때마다.,anger
그 친구랑 약속할때마다 이러는 거 같애.,anger
화도 내고 짜증도 내봤는데 매번 그러니까 미안하다고만 하지 고쳐지지가 않아.,anger
우리아빠가 어제 또 다쳤어.,anger
어제 술 먹고 들어오시다가 넘어지신거야!,anger
입원하시고 치료중이셔.,anger
이야기 할때는 알았다고 하시지. 하지만 술자리를 거부를 못하시는 거야.,anger
"아, 미치겠다 진짜. 어제 우리 아빠 또 다쳤어.",anger
퇴근한지 얼마나 되었다고 또 회사에서 전화가 왔어!,anger
"아니, 어제 술 마시고 집 계단 오르다가 넘어져서 허리 다쳐가지고 지금 병원에 입원해계셔.",anger
퇴근도 눈치 봐가면서 간신히 했는데! 어쩜 이럴 수가 있는거야?,anger
다른 회사도 그럴까봐 이젠 무섭다.,anger
"아니 그건 괜찬은데, 지난번에는 또 얼굴을 다쳐서 꼬맨적도 있다니까?",anger
다들 나몰라라 해. 나만 힘들어.,anger
응. 고마워. 정말 힘이 되고 있어.,anger
"처음엔 걱정도 되게 많이 하고 그랬었는데, 시간이 지나도 고쳐지지가 않으니까 이제는 화가 난다. 가족들도 모두 포기한 상태야, 지금은.",anger
어제 저녁에 진짜 무서웠어!,fear
갑자기 지진이 난 거야!,fear
지금은 괜찮아졌지만 어제는 정말 무서웠어.,fear
친구가 다쳐서 응급실에 갔었어.,fear
나도 온몸이 좀 쑤시고 있어. 와서 병원에 가봐야될 것 같아.,fear
으 화장실에 누가 토하고 안 치웠어.,disgust
"어우, 너무 더러워서 못 가보겠어! 지금도 그대로 있겠지?",disgust
놀란 건 둘째치고 너무 더러워서 토 나올 뻔했어!,disgust
아니야. 범인을 찾아서 혼 내줘야 되겠어.,disgust
아 퇴근한지 얼마나 됐다고 회사에서 또 연락왔어!,anger
나도 모르겠어. 아 진짜 그만두고 싶다.,anger
회사에서 진짜 나한테만 자꾸 일을 몰아주니까 힘들어 죽겠어 진짜. 이직 한 번 생각해봐야 될까봐.,anger
과장님한테 한번 이야기한 적은 있는데 그냥 힘내라고만 하지 별로 위로가 안돼.,anger
나 어제 저녁에 진짜 무서웠어.,fear
"어제 저녁에 친구랑 식당에서 밥 먹는데 갑자기 지진이 일어난거야! 그래서 나는 다행히 안 다쳤는데, 친구는 발목을 다쳤어.",fear
친구는 발목을 다치긴 했는데 크게 걱정할 정도는 아닌 거 같애.,fear
갑자기 지진이 일어난 거라 사람들도 난리도 아니었어.,fear
응 그래 알겠어. 걱정해줘서 고마워.,fear
남자친구가 권태기가 왔다고 헤어지재.,sad
3년 전에 친구 소개로 만나서 사겼지.,sad
그렇게 했으면 치우기라도 했었어야지. 아직도 그대로 있다니까. 더러워 죽겠어!,disgust
아니야. 3년동안 한번도 싸운적이 없었어.,sad
이제 두 달 됐는데 너무 힘들어.,sad
얼마나 깜짝 놀랬는지 머리에 깊이 남아서 지워지지도 않는다. 으이그!,disgust
음식물 쓰레기라던지 그냥 일반쓰레기를 치우지 않고 아무데나 버려!,anger
응. 원래 알던 사이야. 고등학교 동창이야.,anger
하지만 난 이 친구가 너무 좋은데.,anger
혼자 터덜터덜 걷고 있어.,sad
아직 말씀 못드렸어. 너무 죄송스러워서 어떻게 말하지?,sad
여자친구가 바람 폈어.,sad
우리는 소개팅 어플로 만났었지.,sad
나 잘하는게 없나봐.,sad
우리는 라이프 스타일 자체가 안 맞았어.,sad
당연히 얘기해봤지. 근데 말이 안통해.,anger
아니야. 이것도 처음부터 할려면 시간이 없어.,sad
아니 대학교 와서 처음 만났는데 걔 같이 안 살 때는 정말 친했거든. 그런데 같이 살아보니까 아 진짜 안 맞아.,anger
"약속이 있어서 친구 기다리고 있는데, 아직도 안 왔어.",anger
벌써 한 시간 째야.,anger
연락 했는데 아까부터 거의 다왔다고 했거든. 그런데 아직도 안왔어.,anger
얘기해도 한 번 뿐이지. 다음에 또 그래.,anger
"으, 누가 화장실에 토하고 안치웠어.",disgust
내가 방금 갔다 왔으니까 아직도 있을 거야.,disgust
놀랐지. 냄새도 어마어마 해!,disgust
안그래도 올라오면서 물마시고 왔어.,disgust
그러면 니가 가서 좀 말해줄래?,disgust
퇴근후에는 나는 자유몸인데 퇴근후에 연락좀 안했으면 좋겠는데. 맘같아서는 회사 여러번 때려쳤어.,anger
난 잘하는게 없나봐.,sad
이직 생각도 하고 준비도 해봤는데 내 마음처럼 되는게 없더라구. 이 회사도 면접 볼 때 되게 어렵게 들어왔잖아.,anger
오늘 남아서 야근하래. 다 끝내고 가래.,sad
나랑 같이 일하는 부서에 친한 언니가 있는데 그 언니는 나보다 매일 야근에 잔업에 주말에도 회사에 출근해서 일하더라고. 그래서 더 힘들어보이는 거 같애서 말도 못하고 있어.,anger
"건강했었는데, 나이가 많아서 그런 건가 봐.",sad
어우. 친구가 아직도 안 오고 있어. 정말 화 난다.,anger
한 시간이나 기다렸어!,anger
아빠가 또 다치셨어.,anger
"다섯 번은 드시니 매일 드시는 거나 마찬가지지, 뭐.",anger
어. 일 때문에 또 전화왔어.,anger
요즘 취직하기가 어디 쉽니?,anger
없어. 마음맞는 사람도 없어.,anger
"그래야 될 것 같아. 어, 너무 무서워.",fear
나 어제 너무 무서웠어. 식당에서 밥먹다가 갑자기 지진이 났지 뭐야.,fear
다행히 나는 다친 곳 없는데 식당에서 밥 먹던 사람들이 지진 때문에 막 넘어지고 그랬어.,fear
응. 지금은 조금 진정됐어. 근데 어젯밤에는 너무너무 깜짝놀래서 진짜 놀랬지 뭐야.,fear
같이 있었던 사람들은 괜찮았는데 식당 안에 있던 사람들이 넘어져서 조금 다쳤어. 나는 별 문제 없는데 내 친구는 발목을 살짝 삐끗했나 봐.,fear
응. 걱정해줘서 고마워. 나도 지금은 괜찮은데 진정되고 나서 아픈 곳 있으면 꼭 병원 갈게!,fear
"나 이번에 면접 봤던 회사, 또 떨어졌어. 올해 마지막이라고 생각하고 봤는데. 또 떨어지다니 너무 한심하다.",sad
추모공원에서 장례를 치뤘어.,sad
나 아직 밖이야. 집에 못 들어가고 그냥 서성이고 있어. 부모님 볼 낯이 없다.,sad
응. 올해 벌써 다섯번째 탈락이야. 아휴 이번년도에는 다 끝났고 내년 걸 노려봐야지. 너무 속상하다.,sad
위로해줘서 고마워.,sad
난 잘하는게 하나도 없나봐.,sad
기획안을 잘못 썼대. 속상해.,sad
쉬는시간도 없어.,sad
야근도 해야될 거 같애.,sad
그렇지만 속상해.,sad
해피가 세상을 떠났어.,sad
가족들도 너무 힘들어하네.,sad
이제 해야지. 잘 묻어줘야지.,sad
약속이 있어서 친구를 기다리는데 아직 안오네. 화가 나네?,anger
한 시간이 지난 것 같애!,anger
연락도 안되고 정말 짜증나네?,anger
너무 자주 그래. 화가 나. 이런걸 어떻게 해야되지?,anger
얘기를 못했네.,anger
우리아빠가 어제 또 다쳤어.,anger
술을 너무 많이 드셔가지고 계단에서 넘어졌어. 어쩜 그렇게 술을 많이 드시는지.,anger
많이 다치진 않았는데 타박상. 멍들고 음 조금 힘들어 하시네.,anger
"퇴근한 지 얼마나 됐다고, 또 회사에서 연락이 왔어.",anger
이제는 갈 데가 없어. 힘들어도 참고 견뎌야 해. 힘들어도.,anger
우린 학교에서 만났어.,sad
친구만 조금 다쳤고 나는 괜찮은데 너무 무서웠어!,fear
"지금도 조금 조금 진정은 됐는데, 무서운건 여전히 기억에 있어.",fear
다친 사람도 있지만 그래도 대부분은 괜찮은 거 같애.,fear
그래. 고마워.,fear
음식물 쓰레기를 제때 안 버려.,anger
매번 얘기해도 듣질 않어.,anger
한 달 전부터 룸메이트가 된 거야.,anger
화장실에 누가 토하고 안 치웠어!,disgust
그래도 학교 끝날때까지는 같이 있어야 되겠지.,anger
욱 누가 화장실에 토하고 안치웠어.,disgust
나 오늘 면접 또 떨어졌다.,sad
집에 걸어가는 중이야.,sad
도망가고 싶어. 다른 층으로 가야되겠어.,disgust
벌써 다섯 번짼데 또 준비해야겠지.,sad
"아직도 진정이 안돼, 어후.",disgust
아시지만 얘기를 못했지.,sad
아니. 밥 먹을 시간도 없어.,sad
회사에서 또 연락이 왔어. 방금 회사 다시 또 나오래.,anger
이렇게 자주 회사에서 나오라고 하면 더 이상 힘들어서 어떻게 다녀!,anger
회사 옮기는게 그렇게 쉬운게 아니잖아.,anger
회사 안에서 이런 고민 할 사람이 없어.,anger
그래. 너밖에 없다.,anger
"으, 화장실에다 누가 토를 해놨어.",disgust
더러워서 바로 나왔어.,disgust
다시는 화장실 못 갈 거 같애.,disgust
그렇게 하는 게 좋을 것 같애.,disgust
어젯밤에 지진이 있어가지고 엄청 무서웠어!,fear
"나는 다치진 않았는데, 친구가 많이 다쳤어.",fear
"어, 나는 괜찮은데 친구가 많이 다쳐서 그게 걱정이야. 나아지겠지?",fear
다릴 다친 친구 빼고는 나머지는 다치지는 않았어.,fear
걱정해줘서 너무 고마워. 알았어.,fear
지금은 괜찮으신데 또 다치실까봐 걱정이야.,anger
그정도는 아니지만 매번 저러시면 큰일나실 것 같아.,anger
일주일에 5번은 먹는 것 같애.,anger
물론이지. 자주 말씀 드려도 고쳐지지가 않아.,anger
아이 기다리는데 아직도 이 녀석이 안왔어.,anger
"아니, 벌써 기다린지 한 시간이 넘었다니까?",anger
"10분마다 연락을 해봤지. 근데 아직도 이녀석, 온다고만 하지 오질 않고 있어.",anger
"아니, 뭐 매번 그랬지, 뭐. 약속 있을 때마다.",anger
고쳐지지 않는데 뭐. 말하면 뭐 하겠어?,anger
해피가 어제 세상을 떠났어.,sad
해피가 어제 세상을 떠났어.,sad
잘 지내다가 그저께 갑자기 의식을 잃었어.,sad
지금 너무 경황이 없어서 이제 준비해야지.,sad
부모님도 너무 힘들어하셔.,sad
위로해줘서 너무 고마워.,sad
가족끼리 간단하게 장례를 치렀어.,sad
우리 해피는 꼭 천국에 갔을거야.,sad
"친구야, 나는 잘하는게 하나도 없나봐.",sad
약속이 있어서 친구를 기다리고 있는데 아직 안왔어!,anger
한 시간이 넘었어. 이게 말이 돼?,anger
지금 많이 급해서. 기획안을 빨리 준비해야 된다고.,sad
"하, 연락도 안 받아. 짜증나!",anger
지금 퇴근할 수 있는 때가 아니야. 일이 너무 많이 남았어.,sad
얜 고등학교 때부터 그랬어.,anger
하지만 회사 업무기 때문에 안할 순 없잖아.,sad
"당연히 해봤지. 세 살 버릇 여든까지 간다고, 사람은 안 변해.",anger
어제 우리 아빠가 또 다쳤어.,anger
술 처드시고 넘어지셨어.,anger
응 하지만 허리를 다쳐서 입원치료를 하셔야 된대.,anger
일주일에 5일이나 마시고 오셔. 이게 말이나 돼?,anger
아무리 얘기해도 안 고치셔.,anger
퇴근한지 얼마나 됐다고 회사에서 또 연락이 왔어.,anger
정말 매일매일 그만두고 싶은 마음이 계속 생겨.,anger
그래도 1년은 채워야지 경력으로 쳐 주잖아.,anger
너무 힘들어서 회사가 정이 안 가. 사람도 다 못 믿겠어.,anger
정말 고마워. 너밖에 없어.,anger
나 면접 또 떨어졌어.,sad
"나 지금 혼자 갑, 카페 와 있어.",sad
계약이 아직 많이 남아서 돈이 아까워서라도 그렇겐 할 수 없어.,anger
"하, 쉬고 싶다. 하지만 시간이 안될 거 같아. 오늘 퇴근 일찍 못할 거 같은데?",sad
아 지금도 그대로 있어. 아이 저거 누가 치우냐고.,disgust
해피가 어제 세상을 떠났어.,sad
갑자기 의식을 잃어서 응급실에 가게 됐어.,sad
"아, 그 정돈 아니야. 괜찮아.",disgust
"아, 오늘 일요일인데 관리하는 사람이 어딨어.",disgust
진행은 했는데 지금 집에 들어가면 해피 생각이 너무 나서 집에도 못가겠어.,sad
고마워. 해피는 정말 좋은 곳으로 갔을거야.,sad
"다들 힘들어하는데, 특히 엄마가 제일 힘들어 해.",sad
어. 진짜로 그랬으면 좋겠다. 신경 써줘서 고마워.,sad
어. 진짜 최악이야. 지금도 그대로 있어.,disgust
나 결국 헤어졌어.,sad
나 결국 헤어졌어.,sad
"내가 힘든 일도 있었고, 오래 사귀어서 좀 소홀해졌는데. 그래서 시간을 좀 갖자고 했는데, 결국엔 헤어지는 걸로 결론을 내리게 됐어.",sad
나 여자친구랑 헤어졌어.,sad
거래처 직원이었어. 일도 잘하고 싹싹하고 예쁘고. 그래서 마음이 가서 사귀게 됐는데.,sad
"원래 알던 사인데, 계속 만나다 보니까 정 들었었지.",sad
그렇게 심하게 싸우지는 않았던 것 같아.,sad
"장례식까지는 아니고, 그냥 산에다가 잘 묻어주고 왔어.",sad
고마워. 큰 힘이 된다.,sad
두 달 정도 지난 것 같애. 시간이 참 빠르네.,sad
아니. 아직은 잘 모르셔. 이따가 가서 말씀드려야지.,sad
쉬러 갈 때도 무슨 이유가 있어야 되는데 너무 눈치가 보여.,sad
어제 해피가 세상을 떠났어.,sad
밤에 의식을 잃고 쓰러져서 병원에 데려갔는데 일어나지 못하고 결국에는 하늘나라에 갔어.,sad
우리 아빠가 어제 또 다치셨어.,anger
술을 많이 마시셔서 허리를 다치신 거 같애. 너무 속상하다. 지금은 병원에 입원하셨어.,anger
응. 생명에는 지장이 없지만 회복하는데 시간이 오래 걸린다고 이야기 들었어.,anger
아! 더러워. 우리 층 화장실에 누가 토해놓고 도망 갔어.,disgust
"응. 아무도 건들고 싶지 않아하니까, 치운 사람이 없지.",disgust
그래. 물 한잔 줄래?,disgust
응. 안 다쳐서 다행이야. 조금 많이 놀라긴 ?지만.,fear
내 친구가 다리를 조금 다치긴 했어. 발목이라고 말하는게 맞나?,fear
에이 나는 안다쳤다니까. 걱정해줘서 고마워.,fear
퇴근하자마자 회사에서 또 연락왔어!,anger
돈 주는데 다녀야지 그러면. 아니면 너가 돈 벌어올거야?,anger
힘든만큼 돈을 많이 주니까. 상관 없어.,anger
아까 30분 전에 도착해서 지금까지 기다리고 있어.,anger
아무도 안 치웠어.,disgust
따뜻한 물을 마시고 좀 진정해야겠어.,disgust
오늘도 친구가 늦었어. 약속도 잘 안지키고.,anger
빨리 온다고 하더니 30분이나 늦었지 뭐야.,anger
당연히 전화하고 문자도 보냈지. 그럴때마다 얼마나 변명을 하는지.,anger
한번 진지하게 얘기를 해봤더니 그날도 미안하다고 하긴 하는데 잘 안고쳐질거 같아.,anger
나 면접 또 떨어졌어.,sad
"에휴, 그냥 바로 카페에 와버렸지. 다른 곳 알아봐야 되니까.",sad
그래야지 뭐. 또 떨어질지는 모르겠지만.,sad
말하기가 무서워. 하지만 말해야겠지?,sad
고등학교 때 동창이었는데 이렇게 더러운지 몰랐어!,anger
입맛도 없어. 하지만 먹어야겠지?,sad
나 결국 헤어졌어.,sad
그 남자가 바람폈어.,sad
우리 아빠가 어제 또 다쳤어.,anger
지금 한 일주일?,sad
자기 말로는 괜찮대.,anger
"병원 가보라고 하는데, 갈지 모르겠어.",anger
에휴. 한 번에 먹을 때 많이 먹는 거지.,anger
욕도 해봤지.,anger
해봤는데 잘 안고쳐지는 것 같아.,anger
원래 모르던 사이였어. 정말 같이 방도 쓰기 싫다.,anger
어제 저녁에 진짜 무서웠어!,fear
근데 아직 계약기간이 남았어. 너무 슬프다.,anger
갑자기 진동이 느껴져서 놀랐는데 다치지는 않았어.,fear
너무 우울해서 집에 처박혀있어.,sad
권태기가 왔다고 잠깐 시간을 갖자고 했거든? 근데 알고 보니까 새로운 사람이 생긴 거야.,sad
지금 열번째야. 더 이상 준비하기도 지친다.,sad
이제 부모님한테 알리기도 민망해. 부모님한테 돈 얻어 받기도 미안하고.,sad
3년 전에 친구가 소개해줘서 만났어.,sad
3년 동안 사귀면서 한 번도 싸운 적이 없었어.,sad
"알겠어. 에휴, 그래도 별 일 없겠지?",fear
헤어진 지 두달정도 됐는데 다른사람을 만나는 것도 싫어.,sad
담배 한 대 피워야겠다. 너도 같이 필래?,sad
누가 화장실에 토하고 안 치웠어.,disgust
아직 그대로 있어.,disgust
아니. 놀랄 건 아니고.,disgust
"아니야, 괜찮아.",disgust
어제 저녁에 진짜 무서웠어.,fear
나는 괜찮은데 친구가 발목을 삐었어.,fear
휴. 되는 일도 없고 우울하다. 나 위로 좀 해줘.,sad
지금은 괜찮은 거 같애.,fear
"그냥 밖에 돌아다니고 있어. 집에 들어가도 괜히 부모님께 미안하기만 하고, 뭐라고 말씀드리기 고, 좀 그러네.",sad
친구가 발목을 삐어버렸어.,fear
친구들은 취업도 잘되고 잘살고 있는데 나만 왜 이러는거지? 뭐가 잘못된걸까. 어디서부터 다시시작을 해야되는걸까? 어렵다 정말.,sad
그래야겠지.,fear
죄송스러워서 아직 말씀 못드렸어.,sad
퇴근한지 얼마나 됐다고 회사에서 또 연락이 왔어.,anger
면접도 떨어지고. 배도 안고프다. 밥 먹을 염치도 안되고.,sad
그래도 뭐 어쩔 수가 없지.,anger
이직을 해야되는 건가?,anger
아냐. 너밖에 없어.,anger
와. 어제 생각하면 너무 끔찍하다. 다시는 지진 안 났으면 좋겠는데. 너무 무서워.,fear
조퇴 하면 상사가 또 날 괴롭힐 거야.,sad
오래 살긴 했지. 우리 가족같은 사이였거든.,sad
내가 욕 먹을 짓을 했나?,sad
"어제 식당에서 밥 먹는데 지진 나서 식당 사람들은 조금 다치긴 했고 나는 괜찮은데, 어후, 어제 생각하면 너무 끔찍해.",fear
지금도 심장이 벌렁벌렁하고 무서워서 밖에를 못나가겠어. 괜히 또 지진날까봐 막 땅 쳐다보구 주변 두리번거린다니까.,fear
지진 대피 안전훈련을 다시 한 번 숙지하고 연습해야 될 거 같애. 그런데 막상 지진나면은 엄청 무서워. 너무 무서워서 울고 싶더라구.,fear
병원 가서 상담 좀 받고 신경 안정제 좀 받아야 될 거 같애. 지금 가슴이 벌렁거려서 너무 힘들어.,fear
권태기가 온 거 같다고 시간을 갖자고 하더라구. 그런데 새로운 여자가 생겼어. 왜 그걸 몰랐을까? 나한테 매력이 떨어진 거겠지?,sad
아직 우리 해피의 빈자리가 너무 커. 다들 해피가 앉아있던 이불 보면 눈물이 나.,sad
나한테 좋다고 사귀자고 대시했잖아. 내가 처음에 거절했는데 계속 따라다녀서 사귀기 시작했잖아.,sad
"다른 커플처럼 사랑 싸움 좀 했어. 그런데, 그건 다 똑같지 않아?",sad
친구 기다리는데 아직 안왔어.,anger
"며칠 안 됐어. 그냥 마음이. 흠. 내가 더 사랑했던 거 같애. 지금 생각해보니까 좀 더 잘해줄 걸, 하는 생각이 드네.",sad
이모카. 나 결국 헤어졌어.,sad
한 시간 기다리고 있어.,anger
직장 동료 사촌 여동생을 소개해줬어.,sad
나 결국 헤어졌어. 마음이 불편해.,sad
"어, 고등학교 부터 알던 사인데, 매번 그래, 매번.",anger
다른 여자가 생겼나 봐. 내가 어떻게 할 수가 없어.,sad
말은 해봤지. 말은 했는데 만날때마다 얘긴 해봤지만 고쳐지지가 않아.,anger
대학 다니면서 만났던 친구였잖아. 하지만 이젠 다 필요없어.,sad
아 진짜 헤어진 지 두달 됐는데 아무것도 생각이 안나. 만난 거는 놀이공원에서 만났지.,sad
아니. 전혀. 마음은 정말 잘 맞고 싸우지도 않았어.,sad
일주일 정도 지난 것 같아. 시간이 해결해주겠지?,sad
가끔씩 싸우긴 했지. 하지만 잘 맞는다고 생각했는데 내 생각이었나?,sad
룸메와 너무 자주 싸우게 돼. 생각보다 너무 지저분해.,anger
너무 지저분하다니까. 집 청소를 하질 않아.,anger
지금 두 달 다 돼 가. 아무것도 하고 싶지도 않고. 너무 생각이 많이 나네.,sad
룸메와 너무 자주 싸우게 돼.,anger
화 내봤지 당연히. 청소를 하긴 하는데 깔끔하게 하지 않아. 꼼꼼하게. 그래서 내가 다시 하게 되거든.,anger
고등학교 때부터 친구였어.,anger
일단 친구랑 얘기를 한 번 해봐야 될 거 같아.,anger
지장은 없지. 술을 맨날 먹어서 걱정이지.,anger
일주일에 다섯 번은 드셔!,anger
퇴근한지 얼마 됐다고 또 회사에서 전화왔어.,anger
아 몰라! 계속 나한테만 업무를 시켜. 아 그만두고 싶다.,anger
이직 맨날 생각하는데 내가 다른데로 가면 또 잘할 수 있을까?,anger
어제 저녁에 진짜 무서웠어.,fear
친구랑 어제 저녁에 밥을 먹고 있는데 식당에 엄청 심한 지진이 일어난거야. 다행히 나는 다치지는 않았어.,fear
"같이 밥 먹던 친구가 발목을 다쳤는데, 다행히 큰 부상은 아닌 거 같아.",fear
누가 화장실에 토하고 안 치웠어.,disgust
"아, 나 면접 또 떨어졌어.",sad
"아. 지금 집에 가고 있는 길이야. 지하철이야, 지금.",sad
"기숙사 공용 화장실에 그래 놓으면 어떡하라는 거야. 아, 정말!",disgust
어우. 물 마셔도 토할 거 같은데? 윽.,disgust
그래야지. 근데 아직 아무도 출근하지 않은 거 같아.,disgust
"지치네, 지쳐. 다른 회사도 준비해야 되지 않겠나.",sad
"아직 말씀 못드렸어. 또 걱정하실거 뻔한데, 뭐.",sad
"그래, 잘 될거야. 밥은 나중에 먹을게.",sad
학원 같이 다니던 사이였어.,sad
"아니. 평소에도 싸운 적도 없고, 마음도 잘 맞았는데, 헤어지재.",sad
"아, 나 정말 잘하는게 없나봐.",sad
벌써 두 달이 넘어가고 있어.,sad
"청소 때문이지 뭐. 청소기, 를 돌리지도 않아요. 어? 먼지가 굴러 다녀도 청소기 돌리는 꼴을 못 봐.",anger
"어, 상사한테 혼났어, 지금. 상사가 시킨 일이 있는데, 내가 그걸 잘못했다, 지금.",sad
아 그리안해도 머리도 식힐겸 지금 옥상에서 바람쐬고 있어.,sad
고등학교 때 같이 다녔지. 그때는 이렇게 더러운 앤지 몰랐지.,anger
일찍 퇴근하고 싶다. 근데 일을 다시해야될 거 같아 지금.,sad
집값이 너무 비싸. 그래서 반반씩 부담해야 되니까 어쩔 수 없는 것 같애.,anger
"그래. 그래도 내가 좀 더 신경 썼어야 하는데, 그게 좀 아쉽다, 지금.",sad
갑자기 그랬어 갑자기. 병원에 갔었는데 나이도 있고 해서 가망이 없대 지금.,sad
얼마나 됐다고 또 회사에서 전화 왔어.,anger
라. 일은 나만 하는 거 같애. 계속 다니기도 싫어.,anger
지금 다들 슬퍼하지. 그래도 오랫동안 같이 가족처럼 지냈던 아이인데.,sad
회사에서 돈을 많이 주니까. 이직을 생각하긴 해봤는데 돈 때문에 조금 어려울 거 같애.,anger
장례 오늘 아침에 치뤘어. 다들 지금 슬퍼하시지. 위로는 해 드렸는데.,sad
그래. 걱정해줘서 고마워. 힘 낼게.,sad
일하는 동료한테 털어놓을 수 있지. 그래도 걔가 제일 말을 많이 들어주지.,anger
그래도 얘기할 사람이 있으니까 조금은 낫다.,anger
약속이 있어서 친구 기다리고 있는데 아직도 안 왔어.,anger
지금 한 시간 째 기다리고 있는 것 같아.,anger
화장실에 토하고 안치웠어. 어후.,disgust
"가끔씩 그래. 가끔씩. 그래서 친구랑 얘기도 했었는데, 그 때마다 매번 잘 지킨다고는 하는데 오늘 또 그러네.",anger
청소도구도 없고 치울 수도 없어. 그래서 지금 방으로 온거야.,disgust
"얘기는 몇 번 해봤는데, 오늘 만나면 다시 진지하게 해봐야 될 거 같아.",anger
역겨워서 죽는 줄 알았어. 냄새 엄청나.,disgust
"매너가 없어, 매너가. 그래, 빨리 가서 물이나 마셔야겠다.",disgust
우리 아빠가 어제 또 다쳤어.,anger
아 그정도는 아니고 병원에 입원해있는데 이마를 꿰맸대 지금.,anger
술 없으면 못 사는 분이야. 매일매일 마셔.,anger
어제 저녁에 진짜 무서웠어.,fear
"밥 먹는데 지진이 났잖아! 어우, 막 흔들렸어.",fear
"그리 안 해도 걱정 돼서 얘기는 했는데, 아버지가 고집이 세서 잘 안 되네?",anger
"괜찮은데, 같이 밥 먹던 친구가 발목을 다쳤어.",fear
"아, 지금 퇴근하고 막 쉴려고 하는데 회사에서 또 연락 왔어!",anger
아 나도 몰라! 내가 막내라서 그런가 봐. 나한테만 일을 자꾸 주네.,anger
어. 몸은 다친 데가 없는데 심장이 계속 두근거려.,fear
"이직 생각 안 해본 건 아닌데, 일단 힘들게 들어갔으니까 일단 참고 견뎌봐야지.",anger
털어놓을 사람도 없어. 그래서 더 답답한 거 같아 지금. 더 힘들고.,anger
우리 아빠 또 다쳤어.,anger
"그래, 이렇게라도 너한테 털어놓을 수 있어서 마음이 후련하다. 고마워.",anger
계단 올라오다가 허리를 다쳤어. 그래서 병원에 입원했어.,anger
지장이 없어. 다행히도.,anger
일주일에 다섯번은 드시는 거 같애. 가족들 모두 걱정이 엄청나.,anger
가족들 모두 포기야. 아무리 얘기를 해도 듣질 않으셔.,anger
약속이 있어서 지금 친구 기다리고 있는데 아직도 안왔어.,anger
벌써 한 시간이나 기다리고 있어.,anger
전화를 받지도 않아. 도대체 한 시간이나 기다리게 하고.,anger
어. 자주 그래. 아주 자주. 고등학교 때부터 지금까지 맨날 늦어!,anger
어제 하늘나라로 떠났어.,sad
어. 병원에 갔더니 다시 회복을 하는 것 같았어. 근데 갑자기.,sad
엄마도 아빠도 상심이 매우 크셔. 그래서 너무 슬퍼.,sad
"그러니까 토 했으면 바로 치워야 되는데 정말 매너 꽝이다, 꽝.",disgust
응. 장례는 치뤘지. 슬퍼서 집에 가기도 싫다. 생각날 거 같애서.,sad
그리 안해도 나가는 길에 관리하시는 분한테 얘기는 해놨어.,disgust
어제 저녁에 정말 무서웠어.,fear
어 지금은 괜찮아. 어제 엄청 놀랬지.,fear
같이 있었던 사람들 몇몇은 병원에 실려갔어. 다리를 삐었거든.,fear
그래. 걱정해줘서 고마워. 나도 아프면 병원 가볼게.,fear
"나 헤어졌어, 그 사람이랑.",sad
그 사람한테 권태기가 왔나 봐. 다른 여자가 생긴 거 같기도 하고.,sad
어. 회사 상사한테 기획서 냈다가 깨졌어.,sad
3년 전에 친구의 소개로 만났었어.,sad
감기에 걸려서 밖에 나가는 것도 힘들다. 그냥 앉아 있고 싶어.,sad
싸운적도 없고 정말 잘 지냈었는데.,sad
이런데 일찍 퇴근하면 눈치보여.,sad
며칠 안 됐어. 이제서야 너한테 얘기하는거야.,sad
화장실에 누가 토해놨어.,disgust
지금 밖이야. 그냥 터덜터덜 걷고 있어.,sad
응. 아직 그대로야. 정말 최악이야!,disgust
이게 마지막 기회였어. 마지막 시험이었다구.,sad
정말 깜짝 놀랐잖아. 다른 층을 쓰던지. 아 정말 누가 그랬을까?,disgust
죄송해서 말도 못 꺼내겠어. 어떡하면 좋냐?,sad
